year,reconstructed,observed
1400,-0.32268,NaN
1401,0.012498,NaN
1402,-0.43257,NaN
1403,-0.12291,NaN
1404,0.73439,NaN
1405,0.16473,NaN
1406,0.79396,NaN
1407,-1.651,NaN
1408,-0.85919,NaN
1409,0.42184,NaN
1410,-0.28197,NaN
1411,0.95564,NaN
1412,0.21771,NaN
1413,-2.1149,NaN
1414,0.74407,NaN
1415,0.87896,NaN
1416,-0.56626,NaN
1417,0.37396,NaN
1418,0.44751,NaN
1419,-0.6155,NaN
1420,1.4771,NaN
1421,-0.086302,NaN
1422,0.54985,NaN
1423,1.1829,NaN
1424,0.98439,NaN
1425,-0.29781,NaN
1426,-1.3604,NaN
1427,-0.21236,NaN
1428,0.39185,NaN
1429,0.15155,NaN
1430,-0.49263,NaN
1431,-1.3246,NaN
1432,-0.97251,NaN
1433,0.11544,NaN
1434,-0.72277,NaN
1435,0.92216,NaN
1436,0.099205,NaN
1437,-0.29074,NaN
1438,-0.86836,NaN
1439,0.28395,NaN
1440,0.79532,NaN
1441,0.39949,NaN
1442,-0.018747,NaN
1443,0.030127,NaN
1444,-0.33363,NaN
1445,0.19567,NaN
1446,-0.40376,NaN
1447,0.1291,NaN
1448,-0.34035,NaN
1449,-0.24094,NaN
1450,-0.57917,NaN
1451,-0.47058,NaN
1452,-1.2881,NaN
1453,-0.060569,NaN
1454,-0.61993,NaN
1455,0.17498,NaN
1456,-1.3648,NaN
1457,-0.58548,NaN
1458,0.11089,NaN
1459,-1.3039,NaN
1460,-0.49653,NaN
1461,-0.11633,NaN
1462,1.2185,NaN
1463,0.24654,NaN
1464,-1.1971,NaN
1465,-0.53895,NaN
1466,0.19476,NaN
1467,0.65141,NaN
1468,-2.3899,NaN
1469,0.79973,NaN
1470,1.5386,NaN
1471,-0.35414,NaN
1472,-0.46181,NaN
1473,-0.42267,NaN
1474,0.058025,NaN
1475,-0.90588,NaN
1476,-0.7218,NaN
1477,0.054732,NaN
1478,0.4339,NaN
1479,-1.6795,NaN
1480,-0.51514,NaN
1481,0.85698,NaN
1482,-0.24693,NaN
1483,0.064625,NaN
1484,1.3579,NaN
1485,0.44342,NaN
1486,0.78044,NaN
1487,0.17769,NaN
1488,-0.26364,NaN
1489,0.93148,NaN
1490,-0.63939,NaN
1491,0.9418,NaN
1492,-0.71099,NaN
1493,0.25773,NaN
1494,0.47357,NaN
1495,-0.91574,NaN
1496,0.0261,NaN
1497,-2.0437,NaN
1498,-0.067904,NaN
1499,-0.88985,NaN
1500,-1.8285,NaN
1501,1.0542,NaN
1502,0.69622,NaN
1503,1.0525,NaN
1504,-0.26487,NaN
1505,-1.4509,NaN
1506,-0.37844,NaN
1507,-0.17512,NaN
1508,0.22888,NaN
1509,1.8094,NaN
1510,0.26536,NaN
1511,-0.38835,NaN
1512,0.30259,NaN
1513,0.7973,NaN
1514,0.81507,NaN
1515,-1.5015,NaN
1516,-0.80135,NaN
1517,1.178,NaN
1518,-2.1624,NaN
1519,0.47597,NaN
1520,0.63262,NaN
1521,-0.86048,NaN
1522,0.42266,NaN
1523,-0.089279,NaN
1524,1.601,NaN
1525,0.76403,NaN
1526,0.12768,NaN
1527,0.45311,NaN
1528,-0.046456,NaN
1529,-2.2711,NaN
1530,0.91813,NaN
1531,-0.087738,NaN
1532,-2.0516,NaN
1533,-0.043638,NaN
1534,1.7555,NaN
1535,1.3644,NaN
1536,0.73859,NaN
1537,-0.36462,NaN
